company_name,domain,score,num_pages,pages_with_both,distinct_queries,serp_snippet_hits,avg_proximity,avg_page_length,social_flag,num_pages_scaled,pages_with_both_scaled,distinct_queries_scaled,serp_snippet_hits_scaled,inv_proximity_scaled,avg_page_length_scaled,country,date_collected
Max it,maxit.orange.com,0.17282604422601014,3,3,3,8,3.6666666666666665,6907.333333333333,0,0.06451612903225806,0.10344827586206896,0.14285714285714285,0.09876543209876543,0.4285714285714286,0.00013787066613753923,Mali,2026-03-20
Doctorsim,doctorsim.com,0.15903956352344575,6,6,5,3,81.33333333333333,6402.0,0,0.16129032258064516,0.20689655172413793,0.2857142857142857,0.037037037037037035,0.024291497975708502,0.00012778419138295428,Mali,2026-03-20
Baluwo,baluwo.com,0.15774816858267462,1,1,1,7,2.0,5944.0,0,0.0,0.034482758620689655,0.0,0.08641975308641975,0.6666666666666666,0.00011864249196817874,Mali,2026-03-20
Libon,libon.com,0.15774474965376417,1,1,1,7,2.0,2621.0,0,0.0,0.034482758620689655,0.0,0.08641975308641975,0.6666666666666666,5.231527110508016e-05,Mali,2026-03-20
Orangemoney FR,orangemoney.fr,0.15012127058512645,1,1,1,1,2.0,15279.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,0.00030496948768199915,Mali,2026-03-20
Bossrevolution,bossrevolution.com,0.15011141608584735,1,1,1,1,2.0,5701.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,0.00011379220166732621,Mali,2026-03-20
TECNO Smartphones,tecno-mobile.com,0.15011108684803473,1,1,1,1,2.0,5381.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,0.00010740498810241753,Mali,2026-03-20
Horonyafinance,horonyafinance.com,0.15011061665528358,1,1,1,1,2.0,4924.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,9.828324873003232e-05,Mali,2026-03-20
Pour tout le Mali connecte,agefaumali.com,0.15010850438894197,1,1,1,1,2.0,2871.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,5.730528170266507e-05,Mali,2026-03-20
Mboasu,mboasu.com,0.15010768849648756,1,1,1,1,2.0,2078.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,4.147696808712574e-05,Mali,2026-03-20
Transfert d'argent Mobile Money,waricel.com,0.15010649089394412,1,1,1,1,2.0,914.0,0,0.0,0.034482758620689655,0.0,0.012345679012345678,0.6666666666666666,1.8243478744770418e-05,Mali,2026-03-20
Topup Balance,topup-balance.com,0.1488405433566036,1,1,1,0,2.0,7526.0,0,0.0,0.034482758620689655,0.0,0.0,0.6666666666666666,0.00015021927902969604,Mali,2026-03-20
Prepaid & Unlimited Data from $4.99,maya.net,0.14883938690878676,1,1,1,0,2.0,6402.0,0,0.0,0.034482758620689655,0.0,0.0,0.6666666666666666,0.00012778419138295428,Mali,2026-03-20
Rechargemobile,rechargemobile.co,0.14883503068097848,1,1,1,0,2.0,2168.0,0,0.0,0.034482758620689655,0.0,0.0,0.6666666666666666,4.327337190225631e-05,Mali,2026-03-20
